year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,6,muzzleloader,3,0,0,3,22,14,93
2021,7,muzzleloader,18,35,0,53,194,27,762
2021,8,muzzleloader,45,17,0,62,274,23,1138
2021,9,muzzleloader,0,9,0,9,17,53,43
2021,10,muzzleloader,4,0,0,4,4,100,8
2021,11,muzzleloader,3,0,0,3,28,11,125
2021,211,muzzleloader,9,0,0,9,27,33,129
2021,12,muzzleloader,5,7,3,15,48,31,284
2021,131,muzzleloader,0,0,0,0,7,0,35
2021,231,muzzleloader,4,4,0,8,15,53,70
2021,14,muzzleloader,4,3,0,7,26,27,93
2021,214,muzzleloader,4,6,0,10,20,50,102
2021,15,muzzleloader,17,8,0,25,141,18,724
2021,16,muzzleloader,0,0,0,0,12,0,67
2021,161,muzzleloader,15,0,0,15,34,44,133
2021,17,muzzleloader,0,0,0,0,17,0,59
2021,171,muzzleloader,6,0,0,6,13,46,48
2021,18,muzzleloader,30,9,0,39,254,15,1124
2021,181,muzzleloader,6,0,0,6,87,7,429
2021,19,muzzleloader,18,17,0,35,115,30,417
2021,191,muzzleloader,9,0,0,9,114,8,457
2021,20,muzzleloader,9,0,0,9,97,9,422
2021,21,muzzleloader,3,0,0,3,17,18,78
2021,22,muzzleloader,12,0,0,12,46,26,236
2021,23,muzzleloader,26,8,0,34,104,33,362
2021,24,muzzleloader,8,0,3,11,57,19,230
2021,25,muzzleloader,3,0,0,3,61,5,247
2021,26,muzzleloader,5,2,0,7,50,14,223
2021,27,muzzleloader,35,2,0,37,166,22,745
2021,28,muzzleloader,14,36,0,50,282,18,1351
2021,29,muzzleloader,5,0,0,5,99,5,482
2021,30,muzzleloader,6,0,0,6,12,50,46
2021,31,muzzleloader,35,0,0,35,62,56,293
2021,32,muzzleloader,11,0,0,11,30,37,152
2021,33,muzzleloader,26,0,5,31,132,23,571
2021,35,muzzleloader,11,13,0,24,100,24,412
2021,36,muzzleloader,25,9,0,34,96,35,425
2021,361,muzzleloader,6,0,0,6,24,25,136
2021,37,muzzleloader,43,9,0,52,233,22,846
2021,371,muzzleloader,0,0,0,0,91,0,334
2021,38,muzzleloader,3,3,0,6,51,12,233
2021,39,muzzleloader,18,7,0,25,123,20,644
2021,391,muzzleloader,0,0,0,0,5,0,23
2021,40,muzzleloader,21,0,0,21,30,70,130
2021,41,muzzleloader,47,0,0,47,91,52,507
2021,411,muzzleloader,7,0,0,7,7,100,21
2021,42,muzzleloader,6,0,0,6,31,19,108
2021,421,muzzleloader,14,0,0,14,100,14,523
2021,43,muzzleloader,26,0,0,26,132,20,688
2021,44,muzzleloader,9,7,0,16,57,28,312
2021,444,muzzleloader,24,8,0,32,73,44,375
2021,45,muzzleloader,6,4,0,10,45,22,230
2021,46,muzzleloader,2,7,0,9,54,17,270
2021,461,muzzleloader,1,2,0,3,13,23,48
2021,47,muzzleloader,5,0,0,5,33,15,121
2021,48,muzzleloader,6,3,0,9,41,22,153
2021,481,muzzleloader,2,0,0,2,32,6,139
2021,49,muzzleloader,14,2,0,16,68,24,330
2021,50,muzzleloader,0,0,0,0,40,0,216
2021,500,muzzleloader,4,0,0,4,21,19,98
